form,meaning,type,etymology
瘟,"epidemic, plague, pestilence",pictophonetic,sickness
瘠,"thin, emaciated; barren",pictophonetic,sickness
疮,"boil, tumor; wound, sore",pictophonetic,sickness
瘢,"scar, mole",pictophonetic,sickness
瘤,"tumor, lump, goiter",pictophonetic,sickness
瘥,to recover from disease; an epidemic,pictophonetic,sickness
瘦,"thin, lean, emaciated; meager",pictophonetic,sickness
疟,malaria; intermittent fever,pictophonetic,sickness
瘩,pimples,pictophonetic,sickness
瘭,whitlow,pictophonetic,sickness
瘰,"scrofula, swellings",pictophonetic,sickness
疭,clonic convulsions,pictophonetic,sickness
瘳,healed; reformed,pictophonetic,sickness
瘴,"malaria; miasma, pestilential vapor",pictophonetic,sickness
瘵,a wasting disease,pictophonetic,sickness
瘸,lameness; paralysis of the hands or legs,pictophonetic,sickness
瘘,"fistula; goiter, sore, ulcer",pictophonetic,sickness
瘼,sickness; distress,pictophonetic,sickness
癀,jaundice,pictophonetic,sickness
疗,"cured, healed; to recover",ideographic,To clear 了 an illness 疒; 了 also provides the pronunciation
癃,"weakness, infirmity; urine retention",pictophonetic,sickness
痨,tuberculosis,pictophonetic,sickness
痫,"epilepsy, convulsions",pictophonetic,sickness
瘅,bitter hatred; drought,pictophonetic,sickness
癌,"cancer, carcinoma",pictophonetic,sickness
癍,pockmarks on the skin,ideographic,A sickness 疒 that causes freckling 斑; 斑 also provides the pronunciation
癔,hysteria,pictophonetic,sickness
癖,"craving, addiction; habit, hobby; indigestion",pictophonetic,sickness
疠,"sore, ulcer; plague, pestilence",ideographic,Ten thousand 万 sick people 疒
癜,erythema,pictophonetic,sickness
疖,"boil, pimple, sore",pictophonetic,sickness
疬,scrofulous swellings or lumps,pictophonetic,sickness
癞,"leprosy; scabies, mange; shoddy",pictophonetic,sickness
癣,ringworms,pictophonetic,sickness
瘿,"swelling, goiter",pictophonetic,sickness
瘾,"rash; addiction, craving, habit",pictophonetic,sickness
癯,"sthin, emaciated; tired, worn",pictophonetic,sickness
痈,"ulcer, sore, carbuncle, abcess",pictophonetic,sickness
瘫,"paralysis, palsy, numbness",pictophonetic,sickness
癫,"crazy, insane; madness, mania",pictophonetic,sickness
癶,legs,pictographic,Two feet
癸,10th heavenly stem,,
登,"to rise, to mount, to board, to climb",pictophonetic,legs
发,"to issue, to dispatch, to send out; hair",,
白,"white; clear, pure, unblemished; bright",ideographic,A burning candle; the rays of the sun
百,"one hundred; numerous, many",pictophonetic,one
皂,soap; black; menial servant,,
皃,"countenance, appearance",,
的,"aim, goal; of; possessive particle; -self suffix",,
皆,"all, every, everybody",,
皇,"royal, imperial; ruler, superior",ideographic,A crown 白 on the head of the emperor 王
皈,"to follow, to comply with",,
皋,the high land along a river,pictophonetic,
皎,"white; bright, brilliant; clear",pictophonetic,white
皒,white,pictophonetic,white
皕,two hundred,ideographic,Two hundreds 百
皖,Anhui province,pictophonetic,bright
皑,brilliant white; as white as snow,pictophonetic,white
皤,"white, grey; corpulent",pictophonetic,white
皦,"white; bright, brilliant; clear",pictophonetic,white
皮,"skin, hide, fur, feathers",pictographic,A hand using a tool 攴 to strip the hide from a carcass
疱,acne,pictophonetic,sickness
皴,"chapped, cracked",pictophonetic,hide
鼓,"drum; to beat, to strike; to rouse",pictophonetic,drum
皲,"chapped, cracked",pictophonetic,hide
皱,"wrinkles, creases, folds",pictophonetic,skin
皻,"pimples, blotches",ideographic,Spots 虘 on the skin 皮; 虘 also provides the pronunciation
皿,"dish, vessel; shallow container",,
盂,basin; cup,pictophonetic,dish
盅,small cup or bowl,pictophonetic,dish
盆,"basin, bowl, pot, tub",pictophonetic,dish
盍,what? why not?,,
盈,"full, overflowing; surplus; to fill",pictophonetic,dish
益,"to profit, to benefit; advantage",ideographic,A container 皿 overflowing with water 水
盎,"pot, cup, bowl; abundant",pictophonetic,dish
盒,small box or case; casket,pictophonetic,container
盔,"helmet; bowl, basin",pictophonetic,dish
盛,"abundant, flourishing; to contain; to fill",pictophonetic,dish
盗,"to rob, to steal; thief, bandit",,
盏,small cup or container,ideographic,A small 戋 dish 皿; 戋 also provides the pronunciation
盟,"alliance, covenant; oath; to swear",pictophonetic,offering dish
监,"to supervise, to direct, to control; to inspect; prison, jail",,
盘,"tray, plate, dish; to examine",pictophonetic,dish
盥,to wash,ideographic,Washing 水 one's hands 彐 in a basin 皿
卢,"cottage, hut; black; surname",,
荡,"pond, pool; ripple, shake; to wash away, to wipe out",ideographic,Hot water 汤 wiping out plant life 艹; 汤 also provides the pronunciation
目,"eye; to look, to see; division, topic",pictographic,An eye drawn on its side
盯,to rivet one's gaze upon; to keep eyes on,pictophonetic,eye
盱,eyes wide open; to gaze in astonishment,pictophonetic,eye
盲,blind; shortsighted; unperceptive,ideographic,Losing 亡 one's sight 目; 亡 also provides the pronunciation
直,"straight, vertical; candid, direct, frank",ideographic,To look someone in the eye 目
相,"mutual, reciprocal; equal; each other",ideographic,"To stare 目 at a tree 木, meaning to observe"
盹,"to doze, to nap, to nod off",pictophonetic,eye
盼,"to look, to gaze; to expect, to hope for",pictophonetic,eye
盾,shield; Dutch guilder,ideographic,An eye 目 peering from behind a shield 厂
省,"province; frugal; to save, to leave out",pictophonetic,division
眄,"to ogle, to squint at, to look askance",pictophonetic,eye
眇,"blind in one eye; subtle, minute, minuscule",ideographic,Too small 少 to be seen by the naked eye 目
眈,"to stare at, to gaze intently; to delay, to hinder",pictophonetic,eye
眉,eyebrows; upper margin of book,ideographic,Picture of hair 尸 above an eye 目
看,"to look, to see; to examine, to scrutinize",ideographic,Shielding one's eyes 目 with a hand 手 to look to the distance
県,"county, district, subdivision",pictophonetic,head
视,"to look at, to inspect, to observe, to regard",pictophonetic,see
眙,to gaze at; a place name,pictophonetic,eye
眚,"cataract; fault, error, crime",pictophonetic,eye
真,"real, actual, true, genuine",ideographic,"A straight 直 (that is, level) table 几"
眠,"sleep, shut-eye, hibernatation",pictophonetic,eye
眢,"dull, parched, or inflamed eyes",pictophonetic,eye
眦,eye socket; the corner of the eye,pictophonetic,eye
眨,to wink,ideographic,"Two eyes, one open 目 and one shut 乏"
眩,"to confuse; dazed, disoriented",pictophonetic,eye
眭,a piercing gaze; the evil eye,pictophonetic,eye
眯,"to squint, to narrow the eyes; blindness",pictophonetic,eye
眳,eye ridge,pictophonetic,eye
眵,rheum from the eyes,pictophonetic,eye
眶,eye socket; the corner of the eye,pictophonetic,eye
眷,to take an interest in; to care for,pictophonetic,eye
眸,eye; pupil,pictophonetic,eye
眺,"to gaze, to look at; to scan, to survey",pictophonetic,eye
眼,"eyelet, hole, opening",pictophonetic,eye
眽,"to gaze; to look at, to ogle",pictophonetic,eye
众,"multitude, crowd; masses, public",ideographic,Three people 人 representing a crowd
睃,to squint at,pictophonetic,eye
睇,"to glance, to look, to stare",pictophonetic,eye
睘,round; to stare,,
睚,to stare,pictophonetic,eye
睛,eyeball; pupil,pictophonetic,eye
睁,to open one's eyes; to stare,pictophonetic,eye
睐,to squint at; a sidelong glance,pictophonetic,eye
睡,"to sleep, to doze",pictophonetic,eye
睢,"to gaze at, to stare at; uninhibited",pictophonetic,eye
督,"to supervise, to oversee, to direct",pictophonetic,eye
睥,to glare at; to look askance,pictophonetic,eye
睦,"amiable, friendly, peaceful",pictophonetic,eye
睨,"to glare at, to look askance, to squint",pictophonetic,eye
睪,to spy on,ideographic,An eye 目 on top of a tower 幸
睫,eyelashes,pictophonetic,eye
睹,"to look at, to gaze at; to observe",pictophonetic,eye
睽,to stare,pictophonetic,eye
睾,testicle,,
瞀,"to take a close look; nearsighted, dim",ideographic,To make an effort 敄 to see 目 something
瞄,to take aim at; to look at,pictophonetic,eye
瞅,"to see, to look at, to gaze at",pictophonetic,eye
瞈,blurred vision,ideographic,An old man's 翁 eyes 目; 翁 also provides the pronunciation
瞋,to glare,pictophonetic,eye
瞌,sleepy; to doze off,pictophonetic,eye
瞍,blind,ideographic,An old man's 叟 eyes 目; 叟 also provides the pronunciation
瞎,"blind, reckless; rash",ideographic,To damage 害 one's eyes 目; 害 also provides the pronunciation
瞑,to close one's eyes,ideographic,One's eyes 目at night 冥; 冥 also provides the pronunciation
瞓,to sleep,pictophonetic,eye
翳,"shade, screen; to hide, to screen",pictophonetic,feather
眍,sunken eyes,pictophonetic,eye
瞒,"to deceive, to lie; to regard with suspicion",pictophonetic,eye
瞟,"to squint, to glare, to look askance",pictophonetic,eye
瞠,"to gaze, to look, to stare",pictophonetic,eye
瞢,to hide one's eyes; to feel ashamed,ideographic,To cover 冖 one's eyes 目; 罒 provides the pronunciation
瞥,to take a fleeting glance at,pictophonetic,eye
瞧,"to glance at, to look at, to see",pictophonetic,eye
瞪,to stare at,pictophonetic,eye
瞬,"to wink, to blink; an instant, the blink of an eye",pictophonetic,eye
瞭,bright; clear-sighted; to understand,pictophonetic,eye
瞰,"to watch, to spy on; to overlook, to look down on",pictophonetic,eye
瞳,the pupil of the eye,pictophonetic,eye
瞵,to stare at,pictophonetic,eye
瞻,to look; to look out for; to respect,pictophonetic,eye
睑,eyelid,pictophonetic,eye
瞽,"blind, stupid; a blind musician",pictophonetic,eye
瞿,startled; surname,ideographic,A bird 隹 with two wide eyes 目
矍,to look about in alarm or fright,ideographic,To startle 瞿 again 又; 瞿 also provides the pronunciation
眬,"faint, fuzzy, blurry",pictophonetic,eye
矗,"straight, upright; erect, lofty",ideographic,Three people standing up straight 直
瞩,"to focus on, to stare at, to watch carefully",pictophonetic,eye
矛,"spear, lance",pictographic,A spear pointed up and to the right
矜,"to pity, to sympathize, to feel sorry for",pictophonetic,spear
矞,"to bore with an awl; bright, charming",ideographic,To bore a hole with an awl 矛
矢,"arrow, dart; to vow, to swear",pictographic,An arrow pointing upwards
矣,particle of completed action,,
知,"to know, to perceive, to comprehend",pictophonetic,mouth
矦,target in archery,pictographic,An arrow 矢 hitting a target 厃
矧,"interrogative particle; much more, still more",pictophonetic,pull
矬,short; a dwarf,pictophonetic,arrow
短,"brief, short; deficient, lacking",pictophonetic,dart
矮,"short, low; dwarf",pictophonetic,dart
矫,"to correct, to rectify, to straighten out",pictophonetic,arrow
石,"stone, rock, mineral",ideographic,A rock 口 at the base of a cliff 厂
矸,cliff; rock,pictophonetic,rock
矻,"busy; to toil, to slave away",pictophonetic,stone
矽,silicon,pictophonetic,stone
砂,"sand, pebbles, gravel; gritty",ideographic,Many small 少 stones 石; 少 also provides the pronunciation
砉,the sound of a whip cracking,,
砌,"to pile up, to build; stone steps; rock wall",ideographic,To cut 切 stone 石; 切 also provides the pronunciation
砍,"to hack, to chop, to cut, to fell",pictophonetic,stone
砑,"to polish, to grind; to roll with a stone roller",ideographic,Stone 石 used as teeth 牙; 牙 also provides the pronunciation
砒,arsenic,pictophonetic,mineral
研,"to grind, to rub; to study, to research",pictophonetic,stone
砘,a kind of farm tool,pictophonetic,stone
砝,a standard weight (as for a balance),pictophonetic,stone
砟,stone tablet; monument,pictophonetic,stone
砣,"a stone roller; plumb, weight",pictophonetic,stone
砥,whetstone; to polish,pictophonetic,stone
砧,"anvil, flat stone",pictophonetic,stone
砩,to build a dam with rocks,pictophonetic,rock
砬,boulder; obelisk,ideographic,A large standing 立 stone 石; 立 also provides the pronunciation
砭,stone probe; to pierce; to counsel,pictophonetic,stone
砰,bang! the sound of crashing rock,pictophonetic,rock
破,"to break, to rout; to ruin, to destroy",pictophonetic,rock
砷,arsenic,pictophonetic,mineral
砸,"to smash, to pound, to crush, to break",pictophonetic,rock
砹,astatine,pictophonetic,mineral
砼,concrete,pictophonetic,stone
硅,silicon,pictophonetic,mineral
硇,sal ammoniac,ideographic,A kind of mineral 石 salt 卤
硌,"hard, bulging",pictophonetic,stone
硎,whetstone,pictophonetic,stone
硐,cave; chamber; pit,pictophonetic,rock
硒,selenium,pictophonetic,mineral
硝,saltpeter; to tan leather,pictophonetic,mineral
硖,a town in Hebei province,pictophonetic,stone
砗,"giant clam, Tridacna gigas",pictophonetic,stone
硪,a flat stone used as a mortar,pictophonetic,stone
硫,sulfur,pictophonetic,mineral
硬,"firm, hard, strong; obstinate",pictophonetic,stone
硭,a crude saltpeter,pictophonetic,mineral
确,"certain, sure; definite, exact; real, true",pictophonetic,stone
砚,inkstone,pictophonetic,stone
硼,"borax, boron",pictophonetic,mineral
碉,watchtower,pictophonetic,stone
碌,"rocky, rough, uneven; mediocre",pictophonetic,rock
碎,"to break, to smash; broken, busted",pictophonetic,rock
碑,stone tablet; gravestone,pictophonetic,stone
碓,pestle,pictophonetic,stone
碘,iodine,pictophonetic,mineral
碚,suburb,pictophonetic,stone
碟,"plate, small dish",ideographic,A flat 枼 stone 石
碡,stone roller,pictophonetic,stone
碣,stone tablet,pictophonetic,stone
碥,,pictophonetic,stone
碧,"jade; green, blue",ideographic,A stone 石 like amber 珀; 珀 also provides the pronunciation
硕,"great, eminent; large, big",ideographic,Like a sheet 页 of stone 石
砀,a stone veined with brilliant colors,ideographic,A bright 昜 stone 石; 昜 also provides the pronunciation
碲,tellurium,pictophonetic,mineral
碳,carbon,pictophonetic,mineral
碴,quarrel; fault; a shard of glass,pictophonetic,stone
砜,sulfone,pictophonetic,mineral
码,"number, numeral, symbol; yard",pictophonetic,stone
碾,"stone roller; to crush, to roll",pictophonetic,stone
磁,magnetic; porcelain,pictophonetic,stone
磅,pound; to weigh,pictophonetic,stone
磉,"plinth, stone base",pictophonetic,stone
磊,"a pile of rocks; candid, open; great",ideographic,Many rocks 石 piled up
磋,"to polish, to buff; to examine, to deliberate",pictophonetic,stone
磐,"boulder, large rock; firm, stable",pictophonetic,rock
硙,"millstone; to grind, to mill",pictophonetic,stone
磔,"to dismember, to tear apart",pictophonetic,rock
磕,"to collide, to hit, to knock, to tap",pictophonetic,stone
磙,stone roller,pictophonetic,stone
碜,gritty,pictophonetic,stone
碛,"gravel, sand",pictophonetic,stone
磨,"millstone; to grind, to polish, to rub, to wear out",pictophonetic,stone
磬,musical instrument; a kind of xylophone,ideographic,Stone 石 chimes 殸; 殸 also provides the pronunciation
矶,"jetty, reef; breakwater, eddy",pictophonetic,rock
磲,"giant clam, Tridacna gigas",pictophonetic,stone
磴,stone steps on a cliff or hill,ideographic,Stone 石 steps for climbing 登; 登 also provides the pronunciation
磺,sulphur; brimstone,ideographic,A yellow 黄 mineral 石; 黄 also provides the pronunciation
硗,barren land; sandy soil,pictophonetic,stone
礁,"jetty, reef",pictophonetic,rock
礅,stone block,pictophonetic,stone
硷,"alkaline, alkali, lye, salt",pictophonetic,mineral
础,"foundation stone, plinth; basis",pictophonetic,stone
礓,"pebble, small stone",pictophonetic,stone
碍,"to block, to deter, to hinder, to obstruct",pictophonetic,stone
礞,a kind of mineral,pictophonetic,mineral
礴,"to extend, to fill",pictophonetic,stone
礤,"shredder, grater; grindstone",pictophonetic,stone
矿,"mine; mineral, ore",pictophonetic,mineral
砺,whetstone; to sharpen,ideographic,A stone 石 used to hone 厉 blades; 厉 also provides the pronunciation
砾,"gravel, pebbles",pictophonetic,stone
矾,alum,pictophonetic,mineral
砻,"millstone; to grind, to mill",pictophonetic,stone
示,"altar; ceremony; to show, to demonstrate",pictographic,An altar
社,"group, organization, society; a god of the soil",ideographic,An earth 土 spirit 礻; 礻 also provides the pronunciation
祀,"to sacrifice, to worship",pictophonetic,spirit
祁,"to pray; numerous, ample, abundant",pictophonetic,spirit
祆,"Ormazda, the Zoroastrian sun god",ideographic,A spirit 礻 in the sky 天; 天 also provides the pronunciation
祇,"only, just, simply; one of a pair; an earth god",pictophonetic,spirit
祈,"to pray, to entreat, to beseech",pictophonetic,spirit
祉,"blessings, happiness, good luck",pictophonetic,spirit
祓,to exorcise; to cleanse,pictophonetic,spirit
秘,"secret, mysterious, abstruse",pictophonetic,grain
祖,"ancestor, forefather; grandfather; surname",pictophonetic,spirit
祗,"to revere, to respect, to look up to",pictophonetic,spirit
祘,to calculate,,
祚,"throne; happiness, blessings",pictophonetic,spirit
祛,"to expel, to disperse; to exorcise",ideographic,To banish 去 a spirit 礻; 去 also provides the pronunciation
祜,"blessings, happiness, prosperity",pictophonetic,spirit
祝,to pray; to wish well; surname,ideographic,A person 兄 praying before an altar 礻
神,"god, spirit; divine, mysterious, supernatural",pictophonetic,spirit
祟,evil spirit; evil influence,pictophonetic,spirit
祠,ancestral temple; to sacrifice,pictophonetic,spirit
祢,one's deceased father,pictophonetic,spirit
祥,"happiness, good fortune; auspicious",pictophonetic,spirit
祧,ancestral hall,pictophonetic,spirit
票,bank note; ticket; vote; a slip of paper,ideographic,"Flames 覀 over an altar 示, referring to a Chinese tradition of burning fake money as an offering"
祭,"to sacrifice to, to worship",ideographic,Hand 寸 holding meat ⺼ over an altar 示
祺,"good luck, good fortune",pictophonetic,spirit
禄,"blessing, happiness, prosperity",pictophonetic,spirit
禁,"to restrict, to prohibit, to forbid; to endure",pictophonetic,altar
禊,a semi-annual ceremony of purification,pictophonetic,spirit
祯,"lucky, auspicious; a good omen",pictophonetic,spirit
福,"happiness, good fortune, blessings",pictophonetic,spirit
祎,"excellent, rare; beautiful, fine",pictophonetic,spirit
禚,a place name,,
禛,to receive blessings,pictophonetic,spirit
禧,happiness; congratulations,ideographic,Celebrating 喜 good fortune 礻; 壴 also provides the pronunciation
禅,"meditation, contemplation",ideographic,To pray 礻 alone 单; 单 also provides the pronunciation
礼,"courtesy, manners, social customs",pictophonetic,spirit
祷,"to pray, to entreat, to beg; prayer",pictophonetic,spirit
禳,to sacrifice; to pray; to exorcise,ideographic,To pray 礻for help 襄; 襄 also provides the pronunciation
禸,rump,,
禹,legendary Hsia dynasty founder,,
禺,district; mountain in Zhejiang,,
离,rare beast; strange; elegant,pictographic,An animal standing straight; 亠 is the head
禽,"birds, fowl; to capture; surname",ideographic,A legendary beast 离 captured by a man 人
禾,"cereal, grain, rice; plant, stalk",pictographic,A plant stalk with a sagging head
秃,bald,ideographic,Grains of hair 禾 on a person's head 几
秀,"elegant, graceful, refined; flowing, luxuriant",pictophonetic,flower
私,"personal, private, secret; selfish",ideographic,厶 provides the meaning and pronunciation
秉,"to grasp, to hold; to maintain, to preside over",ideographic,A hand 彐 grasping a bundle of grain 禾
秋,"autumn, fall; year",ideographic,The time of year when farmers would burn 禾 crops 火
科,"section, department; field, branch; science",ideographic,A hand measuring 斗 grain 禾
秒,a second; a corn kernel; measure word for time,pictophonetic,grain
粳,non-glutinous rice,pictophonetic,rice
秕,"chaff, husk",pictophonetic,grain
租,"to rent, to lease; tax, rent",ideographic,Regularly paid 且 tribute in grain 禾
秣,"fodder, horse feed; to feed a horse",pictophonetic,grain
秤,"balance, scale; steelyard",ideographic,A balance 平 used to measure grain 禾
秦,the Qin dynasty (eponymous for China),,
秧,"shoots, sprouts; young rice plants",pictophonetic,rice
秩,order; ordered,pictophonetic,grain
秫,a glutinous variety of millet,pictophonetic,grain
秭,billion,pictophonetic,grain
秸,stalks of millet or corn,pictophonetic,grain
移,"to shift, to move about, to drift",,
稀,"rare, unusual; scarce, sparse",pictophonetic,grain
稂,grass; weeds,pictophonetic,grain
稃,"chaff, husk",pictophonetic,grain
税,taxes,ideographic,Grain 禾 paid as tribute 兑; 兑 also provides the pronunciation
稆,wild grain,pictophonetic,grain
秆,"straw, hay",ideographic,Dried 干 grain stalks 禾; 干 also provides the pronunciation
程,"process, rules; journey, trip; agenda, schedule",pictophonetic,grain
稍,"somewhat, slightly, a little; rather",ideographic,Resembling 肖 grain 禾; 肖 also provides the pronunciation
稔,ripe grain; to harvest; to know well,pictophonetic,grain
稗,"darnels, weeds; small, insignificant",pictophonetic,grain
稙,grain ready for grinding,pictophonetic,grain
稚,"young, immature; childhood",pictophonetic,grain
稞,grain ready for grinding,ideographic,Grain 禾 bearing fruit 果; 果 also provides the pronunciation
禀,"to report to, to petition",ideographic,To show 示 something to an official 亠回
稠,"crowded, dense; viscous, thick",pictophonetic,grain
稨,"hyacinth bean, haricot",pictophonetic,grain
糯,"glutinous rice; sticky, viscous",pictophonetic,rice
种,"race, kind, breed; seed; to plant",pictophonetic,grain
称,"balanced; name, brand; to say, to call",,
稷,god of cereals; minister of agriculture,pictophonetic,grain
稹,to accumulate,pictophonetic,grain
稻,rice plant; rice growing in the field,pictophonetic,grain
稼,crops; to sow grain,pictophonetic,grain
稽,"to examine, to investigate",pictophonetic,grain
稿,"draft, manuscript, rough copy",pictophonetic,grain
谷,"valley, gorge, ravine",ideographic,Water flowing 人 from a spring 口 through a valley 八
糠,"chaff, bran, husk; poor",pictophonetic,rice
穆,"majestic; reverent, solemn",pictophonetic,grain
稣,to revive; to rise again,pictophonetic,grain
积,"to store up, to amass, to accumulate",pictophonetic,grain
颖,rice tassel; sharp; clever,pictophonetic,rice
穗,"ear of grain; fringe, tassel; Guangzhou",pictophonetic,grain
穑,"to farm, to harvest grain",pictophonetic,grain
秽,"dirty, unclean; immoral, obscene",pictophonetic,grain
颓,"ruined, decayed; depressed; decadent",ideographic,A bald 秃 head 页; 秃 also provides the pronunciation
稳,"steady, stable; solid, firm",pictophonetic,grain
穰,"stalks of grain; lush, abundant",pictophonetic,grain
穴,"cave, den, hole",pictographic,The mouth of a cave
穵,"a deep hollow; to dig out, to gouge",pictophonetic,cave
究,"to dig into, to investigate; actually, after all",pictophonetic,cave
穸,"the gloom of the grave; tomb, grave; death",ideographic,A dark 夕 cave 穴; 夕 also provides the pronunciation
穹,"vast, lofty, high; vault, dome, arch",ideographic,An arched 弓 vault 穴; 弓 also provides the pronunciation
空,"hollow, empty, deserted, bare",pictophonetic,cave
阱,"trap, snare, pitfall",ideographic,A farm 阝 with a well 井; 井 also provides the pronunciation
穿,"to drill, to pierce; to dress, to wear",pictophonetic,tooth
窀,to bury,pictophonetic,hole
突,"sudden, abrupt, unexpected",ideographic,A dog 犬 rushing out of a cave 穴
窄,"narrow, tight; narrow-minded",pictophonetic,cave
窅,"deep, far, hollow; sad; sunken eyes",ideographic,Sunken 穴 eyes 目
窆,to lower a coffin into a grave,pictophonetic,hole
窈,"obscure, secluded; quiet, refined",pictophonetic,cave
窒,"to obstruct, to stop",pictophonetic,cave
窕,"slender; quiet, modest; charming",pictophonetic,cave
窖,"cellar, storeroom",pictophonetic,cave
窘,distressed; embarrassed; hard-pressed,pictophonetic,cave
窟,"hole, cave; cellar; underground",pictophonetic,cave
窠,"den, nest; hole, indentation",pictophonetic,hole
窣,"to emerge from a hole; rustling, whispering",pictophonetic,hole
窨,"cellar, storeroom",pictophonetic,cave
窝,"cave, den, nest; hiding place; measure word for small animals",pictophonetic,cave
窬,"door, window; a hole in a wall",pictophonetic,hole
穷,"poor, destitute; to exhaust",,
窑,"kiln, oven; pit, coal mine",ideographic,An oven 穴 where pots 缶 are fired; 缶 also provides the pronunciation
窳,"dirty; weak, useless; cracked, flawed",pictophonetic,cave
窭,poor; rustic,pictophonetic,hole
窸,"whisper, faint noise",pictophonetic,cave
窥,"to peep, to spy on, to watch",pictophonetic,hole
窾,hole; hallow; empty,pictophonetic,cave
窿,"mine shaft; cavity, hole",pictophonetic,hole
窜,"to run away; to expel; to revise, to edit",ideographic,Simplified form of 竄; a mouse 鼠 running out of its hole 穴
窍,"hole, opening, aperture",pictophonetic,hole
窦,sinuses; corrupt; surname,ideographic,To buy someone off 卖; a nose-hole 穴
窃,"to steal; thief; secret, stealthy",pictophonetic,hole
立,"to stand; to establish, to set up",pictographic,A man standing on the ground 一
站,"stand, station; to halt, to stand; website; measure word for stands and stations",pictophonetic,stand
竟,"finally, after all, at last; indeed; unexpected",ideographic,A person 儿 finishing a musical piece 音
章,"chapter, section, writing; seal",ideographic,The ten 十 movements of a piece of music 音
竣,"to terminate, to finish, to end; to quit",pictophonetic,stand
童,"child, boy; servant boy; virgin",ideographic,A child standing 立 in the village 里
竦,"to revere, to respect; to be in awe of",,
竖,"perpendicular, vertical; to erect",ideographic,A person 又 standing 立 as straight as a knife 刂
竭,to exhaust; to put forth great effort,pictophonetic,stand
端,"end, extreme; head; beginning",pictophonetic,stand
竞,"to compete, to contend, to vie",ideographic,To stand up 立 to a foe 兄
竹,bamboo; flute,pictographic,Two stalks of bamboo
竺,India; bamboo; surname,ideographic,A kind 二 of bamboo ⺮; ⺮ also provides the pronunciation
竽,free reed mouth organ,pictophonetic,flute
竿,bamboo pole; penis,pictophonetic,bamboo
笄,hairpin; fifteen-year-old girl,pictophonetic,bamboo
笆,bamboo fence,pictophonetic,bamboo
笈,bamboo box used carry books,pictophonetic,bamboo
笊,"bamboo ladle, bamboo skimmer",pictophonetic,bamboo
笏,a tablet held by an overseer,pictophonetic,bamboo
笙,free reed mouth organ,pictophonetic,bamboo
笛,bamboo flute; whistle,ideographic,A bamboo ⺮ flute 由
笞,bamboo rod used for beatings,pictophonetic,bamboo
笠,bamboo hat; bamboo covering,pictophonetic,bamboo
笤,"broom, besom",pictophonetic,bamboo
笥,"hamper, wicker basket",pictophonetic,bamboo
符,"amulet, charm; mark, tag; to correspond to",pictophonetic,bamboo
笨,"stupid, foolish, dull, awkward",pictophonetic,bamboo
笪,a coarse mat of rushes or bamboo,pictophonetic,bamboo
笫,"bed boards, sleeping mat",pictophonetic,bamboo
第,"sequence, number; grade, degree; particle prefacing an ordinal",ideographic,Bamboo strips ⺮ arrayed in sequence; 弟 provides the pronunciation
笮,boards that support roof tiles,pictophonetic,bamboo
笱,a basket trap for fish,pictophonetic,bamboo
笳,reed whistle,pictophonetic,bamboo
笸,a flat grain basket,pictophonetic,bamboo
筀,bamboo (archaic),pictophonetic,bamboo
筅,bamboo brush,pictophonetic,bamboo
笔,"pen, pencil, writing brush; to compose, to write; Hanzi stroke",ideographic,A bamboo rod ⺮ tipped with hair 毛
筇,bamboo staff,pictophonetic,bamboo
等,"rank, grade; same, equal; to wait",ideographic,Bamboo strips ⺮ laid before a court 寺
筊,bamboo rope,ideographic,Bamboo ⺮ used to tie 交 things; 交 also provides the pronunciation
筋,muscles; tendons,ideographic,Bamboo-like ⺮ tendons in the chest 肋
筌,bamboo fish trap,pictophonetic,bamboo
笋,bamboo shoots,pictophonetic,bamboo
筐,bamboo basket or chest,pictophonetic,bamboo
筑,building; a five-string lute,ideographic,A strong  巩 bamboo ⺮ building; ⺮ also provides the pronunciation
筒,"tube, pipe, cylinder; a thick piece of bamboo",pictophonetic,bamboo
答,"answer, reply; to return; to assent to",,
筕,woven bamboo mat,pictophonetic,bamboo
策,"to urge, to whip; method, plan, policy",pictophonetic,bamboo
筘,a roll of cloth,pictophonetic,bamboo
筠,bamboo skin,pictophonetic,bamboo
筢,rake,pictophonetic,bamboo
筦,key; pipe; to be in charge,pictophonetic,bamboo
管,"tube, pipe, duct; to manage, to control",pictophonetic,bamboo
笕,bamboo water pipe,pictophonetic,bamboo
筮,divination using the stalks of plants; divining rod,pictophonetic,divining rod
箸,chopsticks,pictophonetic,bamboo
筱,dwarf bamboo; a diminutive in a nickname,ideographic,Distant 攸 bamboo ⺮; 小 provides the pronunciation
筵,"bamboo mat; banquet, feast",pictophonetic,bamboo
筷,chopsticks,pictophonetic,bamboo
箅,,pictophonetic,bamboo
箍,"hoop; to surround, to bind",ideographic,Bamboo ⺮ bindings 㧜; 㧜 also provides the pronunciation
筝,"guzheng, zither, string instrument",pictophonetic,bamboo
箐,to draw a bamboo bow,pictophonetic,bamboo
箔,"screen, foil, plaited matting; silkworm basket",pictophonetic,bamboo
箕,sieve; dust pan; garbage bag,pictophonetic,bamboo
算,"to calculate, to count; to figure, to plan",ideographic,A bamboo ⺮ abacus 具
箜,ancient Chinese harp,pictophonetic,bamboo
箝,"tweezers, pincers; pliers, tongs",ideographic,Bamboo ⺮ used to grasp 拑 things; 拑 also provides the pronunciation
箢,,pictophonetic,bamboo
箬,bamboo skin; broad-leaved bamboo,pictophonetic,bamboo
